account_number,account_name,balance,account_type,recent_transactions,bank_code,status
4073158522,Raymond Miller,151087.08,Savings,8128.15;6500.92;4517.18;4265.55;2059.14,DEF,closed
4183983384,Chase Wood,852474.41,Savings,347.91;457.69;2569.57;4434.9;6648.77;5694.86,ABC,closed
4397753529,Jeffrey Anderson,379132.48,Personal,1097.69;4502.14;7205.16,JKL,active
3143987119,Fernando Day,450863.83,Personal,7021.71;976.12;2439.07;999.67,GHI,active
7260330144,Elizabeth Burnett PhD,719104.6,Business,7663.42;3108.51;8144.99,GHI,active
9981191291,Wendy Stone,850696.58,Personal,3494.98;8805.05;4198.73;4797.69;3084.15;766.5;2968.63,JKL,closed
2396735003,Amy Bridges,725812.73,Personal,3645.79;1017.76,GHI,closed
4190273491,John Koch,463803.61,Savings,5705.59;8105.85;2362.06;6506.73,ABC,closed
5746164458,Megan Phillips,554033.53,Personal,6402.11;9729.78;800.4;5202.1;8913.61,XYZ,closed
1926232786,Ashley Acosta,211497.3,Savings,210.95;6151.34,XYZ,closed
6341363981,Alex Grant,609699.95,Business,2352.9;2654.48;5206.42,ABC,active
2312485039,Linda Watkins,550875.12,Business,2609.02;7232.74;5457.42,GHI,closed
9159991937,Samantha Reid,272998.31,Loan,9787.8;4303.62;4235.65;2614.97,ABC,active
4150540297,Julie Silva,30460.1,Loan,6091.13;708.58;765.86;8815.66;2826.85;7262.76;9895.35;7931.19;6658.5;3679.32,GHI,active
1408741827,Penny Gomez,481420.83,Personal,6925.27;9676.18;3460.44;4667.54;2367.49;5520.54;504.48;9731.57;3644.78;8214.98,XYZ,inactive
1394740294,Michelle Stone,413867.46,Savings,4480.49;2836.57;6389.33;547.88;4747.05;2241.98;6538.74,ABC,closed
1292991308,Chad Woods,281983.42,Savings,3256.93;6720.82;8815.59;466.11;9821.82;8242.05;8371.33;6991.42;2271.14;6407.24,GHI,inactive
7774325017,Jonathan Rogers,561370.42,Personal,1388.23;2504.07;6087.82;255.16;4449.36,ABC,closed
3602264489,Ashley Taylor,6476.49,Loan,5218.66;9063.88;4762.22;5978.59;1523.61,JKL,active
3286522688,Victoria White,817952.06,Business,3094.23;5248.52;1285.46;7152.5;9670.88;6480.46;5123.48,XYZ,inactive
5385571239,Seth Castillo,246345.71,Savings,1150.68;3933.12,JKL,closed
7588821565,Jordan Spencer,211975.3,Personal,8269.6;2072.55;2991.06,ABC,inactive
2909611319,Robert Ewing,802182.95,Savings,1124.89;3300.52;2329.72;6303.41;4602.83;6325.59;626.54;4384.2,JKL,inactive
4351926538,Juan Downs,431702.09,Loan,2954.03;1539.48;2011.38;6098.26;1719.91;7104.76;8139.61;1416.34;3769.74,JKL,active
7118891963,Beth Wilson,773232.64,Savings,3553.41;1116.43;5471.49;1492.98;6572.52;7162.75;4200.92;9982.47;2321.06;1640.54,GHI,active
5268243778,Linda Ramirez,482038.6,Business,3385.03;2945.2,DEF,closed
4697303996,Lori Chambers,225103.42,Business,2591.43;9884.61;6434.11;3257.05;8883.08;5937.26;7669.77;1800.29,GHI,inactive
9186139774,Sean Campbell,908330.59,Savings,8245.61;6170.91;6181.24;9670.35;6060.5;7380.52;3351.03;6493.46;4428.82;4997.77,DEF,active
2282942761,Michelle Smith,257296.19,Business,2644.5;1326.94;7803.19;3763.76;2974.5,GHI,active
2907780601,Jennifer Sandoval,339210.62,Business,134.24;5519.02;6731.91;6576.11;5530.55,XYZ,active
7203055340,Angelica Aguilar,701732.36,Savings,4347.16;6853.49;4549.22,DEF,closed
7454168675,Casey Garner III,477752.82,Loan,3864.46;2659.56;3105.87;9700.36;8201.09;2751.71;3905.8;4186.98,GHI,inactive
5387659427,Ashley Valdez,280361.96,Business,5963.66;1380.62;5079.64;8062.76;3796.17,DEF,active
2603646668,Mark Heath,943607.11,Personal,8237.52;7553.33;1758.54;1765.71,ABC,inactive
4866671853,Tanya Lawson,446933.37,Loan,1462.93;9502.81;4276.34;4803.82;1296.14,JKL,closed
9643959369,Jacqueline Chavez,807398.26,Savings,7288.46;3280.9,XYZ,inactive
3037860228,Patty Valencia,709067.69,Savings,563.8;1146.57;8883.61;6699.8;158.12;5769.74;9484.74;5541.33;4583.21,DEF,closed
4956507259,Patrick Nelson,67854.75,Loan,485.23;5775.35;5381.12;8097.07;6027.34;5368.65,JKL,closed
2793661749,Kimberly Smith,198849.27,Personal,8479.55;443.42;8286.64;9396.18,JKL,active
6638868495,Aaron Brown,844419.06,Loan,8320.14;6281.73,JKL,inactive
7195126873,Gary Harris,117095.92,Savings,4490.93;7888.94;5414.53;7555.36;6525.78;2944.03;2909.2;2924.61;5418.5,JKL,closed
1575149446,Kelly Barnes,185806.0,Savings,6309.99;755.27;1305.05;4976.74;5383.48;4819.06;1757.62;2472.25;2482.59;3855.77,XYZ,active
9752155111,Stephen Silva,964277.5,Business,8082.16;3559.45;3010.48;8190.39;8779.95;8136.38,JKL,closed
5797314554,Nancy Petersen,195521.28,Business,4289.25;1578.33;3919.31;7365.02;203.9;3293.59;2625.21;9080.95;1192.29,JKL,active
4040097796,Erin Newton,711965.12,Personal,8982.83;9321.88;6336.2;1160.85;993.93;2800.05,ABC,closed
2287744837,Jesus Davis,948495.47,Business,5493.05;5083.83;1777.56,ABC,closed
3258465968,Jeffrey Wheeler,311783.45,Savings,9945.78;3774.01;2451.68;9209.88,GHI,inactive
5121327413,Joshua Baldwin,8542.81,Savings,5880.13;2421.96;1292.62;7702.39;232.41;3296.42;8353.2,XYZ,closed
5827916836,Danielle Alvarado,654641.53,Personal,880.35;1268.57;9346.32;2716.46,XYZ,closed
7098535224,Ebony Alvarado,861363.52,Personal,9314.05;8403.32;6911.98;4550.8;8903.69;1051.32;4555.28;7847.4;8496.83;757.27,ABC,active
3497377861,Calvin Garcia,273084.1,Loan,1853.27;5985.85;826.29;1360.97;4997.03;8587.62;6363.94;5895.82,ABC,active
1244336054,Felicia Mooney,675935.02,Savings,7590.13;8503.77;3191.68,DEF,inactive
7563025039,Lisa Carrillo,511507.85,Loan,8956.6;5475.34;2388.48;7664.99;2384.42;2870.33;7980.49;6983.77,GHI,closed
6132552005,John Liu,785471.17,Personal,5489.17;1849.07;6412.16,XYZ,inactive
9543928288,Andrew Hoover,265636.55,Savings,8318.02;7624.16;5510.69;7157.2;9125.48;4269.94;8063.2;3146.2;5426.92;2894.55,JKL,closed
4236726039,Corey Allen,154326.38,Savings,2979.3;9390.3;9331.01;4879.6;6121.67;443.12;1403.46;1513.26;2833.5;1499.89,XYZ,closed
5041432336,Bianca Clark,122926.75,Personal,1764.58;966.93;2348.35,DEF,inactive
9398742708,Cheryl Garcia,214769.03,Personal,2903.51;1145.9;392.81;7635.34;2642.33;4779.65;338.21;2332.14;9638.42;191.06,DEF,closed
7104561958,Rachel Potter,901501.22,Personal,9113.88;8683.02,ABC,inactive
4691207759,Brandon Ferguson,2700.57,Personal,6080.48;986.73;638.99;9819.83;1501.19;5480.73;2610.1,DEF,closed
5243932392,Jacob Hoover,711860.38,Loan,4688.6;4923.77;9736.7;1475.62;163.57;6183.0;3178.23;1228.23;7540.39;2445.45,JKL,inactive
2258773889,Victoria Davis,710807.34,Personal,9823.5;8150.29;6510.78;2199.83;8199.17;2534.21;4064.42;4535.62,ABC,closed
3044327520,Russell Brown,521639.29,Savings,568.69;3394.96;9205.76;355.43;2802.75;3905.28;457.55;5823.0;6002.59;1650.39,DEF,active
8095038654,Maureen Butler DDS,734702.7,Business,3339.98;2068.37,XYZ,active
3820058398,Kenneth Barnes,947457.49,Business,1207.93;1955.86;5300.84;4141.95;7810.48;6106.56,ABC,inactive
7799873725,Jeffrey Rich,277631.03,Loan,2278.0;2692.63;6172.77;5552.62;7856.09;2304.46,XYZ,active
4095214876,Adam Burton,271052.03,Loan,6875.53;8538.74,DEF,active
2038589161,April Miller,226252.4,Business,8057.26;3579.64;5685.27;2163.24;7803.08,ABC,inactive
3987577232,Stephanie Rivera,162212.21,Personal,9190.13;6748.33;2714.64;5944.06;1518.65;1904.26,XYZ,inactive
2359194485,Todd Williams,224454.88,Savings,2861.93;5046.72,ABC,closed
1069822167,Brenda Washington,716324.02,Business,4367.24;9715.7;5152.68;7142.84;3606.63;2254.24;5935.41;9766.18;1385.96,DEF,closed
8680184932,Peggy Diaz,369177.73,Personal,9988.26;5111.13;7370.58;510.27;751.95;2252.82;8599.42,JKL,active
5685448267,Ryan Graham,510340.05,Savings,6322.61;9287.37;5756.02;7860.68;6805.46;7559.63;2957.53,DEF,active
4710034549,Aaron Camacho,856362.62,Personal,539.81;8949.56;5288.61;2270.27;6528.55;9231.28;9680.41;3858.46;5212.09,ABC,inactive
5178249059,Shaun Schwartz,362873.42,Personal,5824.61;6979.32;8302.29;6735.24;7189.68;9739.31;2831.92;9516.64;9850.55,GHI,active
6698152326,Jeffery Gardner,435760.9,Savings,1091.08;261.07;1721.09;1958.69;2650.95;871.18,ABC,active
5494508810,Rachel Cook,559627.66,Business,4985.0;9156.51;1775.78;2010.2,DEF,inactive
6065686193,Michael Bridges,487239.3,Loan,9311.39;1999.08;2717.41;4942.02;8662.14;4225.97;9894.33;7496.44,DEF,closed
2218884430,Katherine Johnson,636656.15,Loan,3490.26;9038.62;910.53;6300.21;9613.09;6699.27,JKL,closed
3156152685,Jennifer Smith,95383.27,Savings,2460.24;6449.78;7938.67;6014.39;8207.56,XYZ,active
4127878516,Mary Wiley,639759.0,Personal,572.88;3767.33;4590.31,JKL,active
2864874402,Jeffrey Ramirez,432954.37,Personal,4096.61;296.97;3371.13;8306.39;6489.11;7544.22;8204.21,ABC,inactive
2796884328,Darren Sims,283443.6,Business,8555.94;3988.19;9131.09;521.28,JKL,inactive
5772350191,Danielle Flores,16700.17,Loan,344.96;1160.27;3775.33;7993.77,XYZ,active
4043558754,Sonya Allen,276931.13,Business,5374.39;8108.24;1786.17;1988.88,JKL,active
8598977311,Dustin Beard,814673.67,Personal,7984.23;7626.52;313.86;904.65;278.54;9119.21;7049.37;6708.53;5832.06,ABC,inactive
5120899685,Elizabeth Brock,375875.29,Loan,3159.68;9320.59;9332.21;3766.91;2033.63;5899.44;7457.26;8066.83,DEF,inactive
4588242693,Michael Bautista,529669.4,Loan,8592.3;5370.83;2085.32;8655.62;9089.14;4408.72;6626.38;5569.84,XYZ,active
8209573075,Levi Green,93247.67,Personal,5827.26;5494.61;8897.38;8129.19;2365.52;9401.73;1027.36;8962.27;2116.96;5332.23,XYZ,closed
5854171474,Elizabeth Brown,895400.0,Savings,1008.62;7653.92;6835.22;8958.67;1414.35;1686.19;992.27,GHI,active
8124825923,Christopher Beltran,505246.11,Savings,8320.12;2771.72;1798.82;5805.32,ABC,active
1216947830,Jacqueline Davis,939083.62,Business,8560.51;1524.84,JKL,inactive
6337500543,Wesley Brady,747246.65,Business,7433.36;7171.57;2609.02;9036.45;4486.12;6569.73,DEF,closed
8946401877,Mark Lawrence,249873.16,Personal,5282.28;8313.98;8473.73;7911.85;7882.66;2541.25,ABC,closed
1201398512,Briana Jones,405274.52,Personal,6741.06;6703.69;2904.73;3793.52,JKL,closed
7302704686,Scott Marshall,325350.78,Personal,2699.7;1198.72;4712.12;4847.57;8305.32;9565.42;5387.57;2592.95;2959.43;4406.49,ABC,closed
5194484574,Frank Valdez,523325.25,Business,8955.33;7052.55;5541.51;3722.5;120.08;9550.07;8575.66;7743.37;9837.6;9240.58,XYZ,active
8098320787,Juan Torres,222733.34,Personal,9372.08;7646.58;2982.74;3835.56;5826.22;5856.86;5230.55;1972.61,DEF,inactive
2563925341,Jeffrey Griffin,25550.79,Business,9238.33;5825.94;525.52,ABC,closed
1562187047,Joseph Ramirez,631629.05,Savings,1743.35;7716.0;5748.5;5267.67,GHI,closed
1914704419,Nicholas Morales,183176.06,Personal,6105.4;9731.48;2782.09;3442.04;1313.55,XYZ,active
8127392253,Andrew Sandoval,512799.42,Personal,3889.28;3071.72;2001.56,DEF,closed
5351144115,Thomas Booker,644070.9,Savings,6002.06;305.19;8783.13,JKL,inactive
2432063938,Rachel Tran,71691.82,Personal,5889.49;6040.72;134.12;8730.71;8797.18;533.42;1439.52;2378.15,ABC,inactive
5744829321,Tiffany Lewis,791073.01,Savings,470.91;9816.92;2230.94,GHI,closed
3178162313,Elizabeth Keller,193305.28,Savings,9094.47;3334.09;9916.39;6575.6;9277.55,JKL,inactive
3616700734,Kimberly Payne,193915.65,Business,4947.14;6562.17;922.75;6710.85;1969.97,XYZ,active
7090820380,Jennifer Stewart,458416.36,Personal,8782.62;7624.99;9949.79;1111.62;8901.15;3541.4,XYZ,active
2456517957,Jill Douglas,439727.99,Business,9740.89;4309.11;6662.51;4177.63;4269.97;1540.36;8164.51;7054.15,JKL,inactive
9602567930,Chris Rodriguez,196744.16,Business,242.97;4436.8;5300.69;6814.01;856.5;9883.03;605.26;6679.65,ABC,inactive
9582221051,Annette Gutierrez,906209.33,Business,1100.48;3827.08;4448.02;2206.3;2188.73;7501.61,DEF,inactive
1881937566,James Hill,165708.52,Loan,708.14;6335.88;9247.32;7263.26;8263.55,ABC,inactive
7494535320,Scott Hernandez,630337.66,Personal,6364.38;994.72;7996.39;7960.73;2878.59,ABC,active
9184355360,Heidi Curtis,947662.6,Savings,8363.69;6547.08;5585.26;2655.22;9799.31;3992.58;1627.86;7455.37;2446.63,GHI,closed
2278008749,Heidi Johnson,915508.36,Savings,5691.02;5509.55;3488.56;6058.69;4398.71;1116.6;2895.18;4836.87;1001.32,DEF,active
9582495405,Miss Colleen Smith,572431.16,Personal,3072.18;8103.99;6588.7;1087.14;7819.66;669.8;388.78;2266.53,XYZ,inactive
6652844542,Margaret Gonzales,799193.47,Business,6100.76;9988.25;2021.79;750.8;8702.76;1380.14;7337.33;5490.66;2582.63;2799.74,GHI,closed
4277674763,Tracy Harris,599242.62,Loan,4328.71;1450.83;1631.59;2256.52;5648.4;772.81;2489.52;9409.83;6304.32,DEF,active
3114512274,Rebecca Saunders,355841.48,Business,2923.45;3225.26;5916.68;9403.03;3059.97;729.01;8379.03;284.88,GHI,active
9834770106,Victoria Roberts,56810.32,Business,3127.28;6824.78;249.38;9743.48,JKL,closed
1664564095,Eric Turner,933684.65,Savings,7582.45;1543.25;1235.36;9527.22;3448.47;3647.03;2062.2;7821.27;6272.26;6538.94,DEF,inactive
9985877980,Derek Hull,67385.84,Savings,4908.61;1871.16;199.56;3179.93;2372.34;1393.03,GHI,active
2196654405,Nicholas Farley,193489.81,Business,8087.46;6157.97;7374.87;241.91;5659.08;823.02;7944.35,XYZ,active
5531393691,Larry Parks,325240.45,Business,2095.81;448.25;9769.99;165.76;2327.39,GHI,inactive
8517500570,Jamie Johns,711158.37,Personal,6877.1;8584.34;6861.95,ABC,closed
5743865441,Annette Mclean,81021.02,Personal,1383.44;9440.97;175.86;3491.11;5799.96;8351.48,ABC,closed
8617517015,David Fowler,670403.57,Personal,4504.7;7783.38;7040.6;1908.09;8298.63;4458.68;9270.34,XYZ,closed
3299434709,Mackenzie Black,708456.35,Business,6827.32;3294.93;229.48;4735.66,ABC,inactive
4865369429,Tara Johnson,550369.29,Personal,3380.5;3671.79;8158.13;1585.85;7558.76;9491.07;6643.24;8713.68;9335.8,XYZ,inactive
8869800433,Kristy Fuller,721865.39,Savings,780.96;298.19;8484.63;9104.61,JKL,closed
5964389074,Laura Perez,342173.03,Savings,5169.34;9483.72;300.79;4148.77,XYZ,closed
3155940270,David Daniels,780696.2,Savings,5016.6;5160.75;2892.97;9391.91;8149.6;7238.82;130.32;2488.58,DEF,closed
4403612571,Karen Price MD,81469.47,Personal,2111.14;4161.14;9975.45;8604.34;6374.24;986.96;7998.54;8129.44,JKL,active
2635150059,Rebecca Johnson,110813.96,Loan,9635.47;2040.52,XYZ,closed
4252179744,Charles Nunez,449329.33,Savings,217.66;4037.81;8978.99;7685.96;9954.73;7629.25;1756.51,GHI,inactive
6645580657,Lauren Smith,918857.86,Personal,3952.08;1367.32;8056.18,ABC,inactive
4441724387,Brett Blake,344840.93,Personal,5117.89;8835.81;898.96,XYZ,inactive
5957949129,Brandon Lam,681460.67,Personal,212.22;2342.47;9453.51;6671.85;7072.89;2107.72,GHI,closed
5887757915,Jeffrey Frank,325923.18,Savings,953.16;8121.95;7645.35;4855.71;958.91,DEF,active
8706559824,Joel Marshall,552430.0,Personal,5976.33;3797.25,JKL,closed
9102289900,Cassandra Johnson,484919.71,Loan,5451.33;4636.05;9082.04;2325.01,DEF,closed
7785132947,John Galloway,554792.82,Personal,9351.43;3677.55;5677.62;1751.59;5534.95;5739.74;3738.62;2712.87,XYZ,active
1196291028,Eric Brown,359896.28,Loan,7270.27;760.83;7040.37;651.0;1334.59;8743.08,XYZ,inactive
2131757064,Heather Mullins,946477.04,Personal,6913.95;8260.81;6328.0;7061.47;9711.78;9229.03;5467.24;2752.28,DEF,closed
8846647873,Crystal Collins,421176.2,Loan,374.58;7451.11;8337.85;5146.31;1647.32,JKL,inactive
3459635744,Allison Matthews,980681.93,Personal,3297.65;4218.67;9484.74;1426.01;1017.89;6956.79;8810.48;5568.94;6277.29;9045.48,ABC,closed
2044983007,Mark Scott,575591.93,Business,7148.44;939.5;5449.46;9216.64;8637.61,GHI,inactive
6094718320,Scott Lewis,217870.96,Business,5824.29;543.75,DEF,closed
6878494096,Julia Sanchez,398932.73,Business,3405.34;2428.08;9309.08;4815.51;5063.01;6913.37,ABC,closed
5834409212,Kaitlyn Pierce,245676.71,Personal,3873.21;3326.32;6657.61;1201.03;2895.72;7552.88;7761.13;2649.11,JKL,closed
2571249769,Hailey Gutierrez,732048.01,Business,7548.7;3142.61;522.28;2971.41;2386.45;7817.6;6379.56;8603.41;888.42,XYZ,inactive
4948891270,Mrs. Renee Thompson,679953.38,Savings,1272.34;2029.03;8021.09;210.62;7233.0;3783.56,XYZ,closed
9542353869,Pamela Schmidt,590213.63,Business,4166.8;4775.72;1540.07;2619.44,XYZ,closed
3045580880,Carol Jackson,756301.76,Business,1187.63;9628.7;6266.62;5599.41;2346.18;5459.69,JKL,inactive
9469613380,Brianna Sparks,653456.09,Savings,8754.49;9525.26,ABC,inactive
